#: :filename=/home/mvazque2/.rbbt/tmp/tmp-542940535.Sheet1#:type=:double
#Associated.Gene.Name	Synonyms	Official name	Entrez.Taxa.ID	Entrez.Gene.ID	UniProt.SwissProt.Accession	Ensembl.Gene.ID	TFclass_human	TFclass_mouse	TFclass_rat	TFClass_classification_family_code	TFClass_classification_class_name
CREB3L3	CREB-H CREBH	Cyclic AMP-responsive element-binding protein 3-like protein 3 	9606|10090|10116	84699|208677|314638	Q68CJ9|Q91XE9|Q5FVM5	ENSG00000060566|ENSMUSG00000035041|ENSRNOG00000032202	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.7	Basic leucine zipper factors (bZIP)
CREB3L4	AIbZIP CREB4 CREB3 hJAL ATCE1	Cyclic AMP-responsive element-binding protein 3-like protein 4 	9606|10090|10116	148327|78284|310616	Q8TEY5|Q9D2A5|Q5UEM7	ENSG00000143578|ENSMUSG00000027938|ENSRNOG00000023493	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.7	Basic leucine zipper factors (bZIP)
CREB5	H_GS165L15.1 CRE-BPA	Cyclic AMP-responsive element-binding protein 5 	9606|10090|10116	9586|231991|500131	Q02930|Q8K1L0|D3ZBH0	ENSG00000146592|ENSMUSG00000053007|ENSRNOG00000008622	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.1	Basic leucine zipper factors (bZIP)
CREBL2	-	cAMP-responsive element-binding protein-like 2	9606|10090|10116	1389|232430|362453	O60519|Q32M00|Q5BJU6	ENSG00000111269|ENSMUSG00000032652|ENSRNOG00000007115	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.7	Basic leucine zipper factors (bZIP)
CREBZF	ZF	CREB/ATF bZIP transcription factor 	9606|10090|10116	58487|233490|293112	Q9NS37|Q91ZR3|D3ZU42	ENSG00000137504|ENSMUSG00000051451|ENSRNOG00000018987	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.7	Basic leucine zipper factors (bZIP)
CREM	hCREM-2	cAMP-responsive element modulator 	9606|10116|10090|10116	1390|12916|25620|	Q03060|Q9R1Q5|P27699|Q03061	ENSG00000095794|ENSMUSG00000063889|ENSRNOG00000014900|	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.7	Basic leucine zipper factors (bZIP)
CRX	CRD LCA7 OTX3	Cone-rod homeobox protein	9606|10090|10116	1406|12951|60446	O43186|O54751|Q9WTQ9	ENSG00000105392|ENSMUSG00000041578|ENSRNOG00000013890	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.3	Homeo domain factors
CSRNP1	URAX1 DKFZp566F164 FAM130B TAIP-3	Cysteine/serine-rich nuclear protein 1 	9606|10090|10116	64651|215418|363165	Q96S65|P59054|D4AAK3	ENSG00000144655|ENSMUSG00000032515|ENSRNOG00000033433	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	0.1.1	AXUD/CSRNP domain factors
CSRNP2	C12ORF2 TAIP-12 PPP1R72	Cysteine/serine-rich nuclear protein 2 	9606|10090|10116	81566|207785|315308	Q9H175|Q8BGQ2|D4A1W4	ENSG00000110925|ENSMUSG00000044636|ENSRNOG00000019653	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	0.1.1	AXUD/CSRNP domain factors
CSRNP3	FLJ32093 TAIP-2 PPP1R73	Cysteine/serine-rich nuclear protein 3 	9606|10090|10116	80034|77771|311093	Q8WYN3|P59055|D4AE74	ENSG00000178662|ENSMUSG00000044647|ENSRNOG00000005359	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	0.1.1	AXUD/CSRNP domain factors
CTCF	FAP108 CFAP108	Transcriptional repressor CTCF 	9606|10090|10116	10664|13018|83726	P49711|Q61164|Q9R1D1	ENSG00000102974|ENSMUSG00000005698|ENSRNOG00000017674	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
CTCFL	dJ579F20.2 BORIS CT27	Transcriptional repressor CTCFL 	9606|10090|10116	140690|664799|100360757	Q8NI51|A2APF3|D3ZQ48	ENSG00000124092|ENSMUSG00000070495|ENSRNOG00000028661	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
CUX1	CDP CDP1 CUX CUT Clox CDP/Cut CDP/Cux Cux/CDP CASP GOLIM6	Homeobox protein cut-like 1 	9606|10090|10116	1523|13047|116639	P39880|P70403|P53565	ENSG00000257923|ENSMUSG00000029705|ENSRNOG00000001424	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.9	Homeo domain factors
CUX2	KIAA0293 CDP2	Homeobox protein cut-like 2 	9606|10090|10116	23316|13048|288665	O14529|P70298|F1M048	ENSG00000111249|ENSMUSG00000042589|ENSRNOG00000001259	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.9	Homeo domain factors
CXXC1	HsT2645 PCCX1 hCGBP PHF18 CGBP SPP1 CFP1 ZCGPC1	CXXC-type zinc finger protein 1 	9606|10090|10116	30827|74322|291440	Q9P0U4|Q9CWW7|A1A5S2	ENSG00000154832|ENSMUSG00000024560|ENSRNOG00000014614	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.6.1	CXXC zinc finger factors
D130040H23Rik	-	-	10090	211135	Q8BII3	ENSMUSG00000079038	NA	TFclass_mouse.present	NA	NA	NA
DBP	DABP	D site-binding protein 	9606|10090|10116	1628|13170|24309	Q10586|Q60925|P16443	ENSG00000105516|ENSMUSG00000059824|ENSRNOG00000021027	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.8	Basic leucine zipper factors (bZIP)
DBX1	-	Homeobox protein DBX1 	9606|10090|10116	120237|13172|292934	A6NMT0|P52950|Q5NSW5	ENSG00000109851|ENSMUSG00000030507|ENSRNOG00000014706	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.2	Homeo domain factors
DBX2	FLJ16139	Homeobox protein DBX2 	9606|10090|10116	440097|223843|541457	Q6ZNG2|Q8BZD0|F1LRM4	ENSG00000185610|ENSMUSG00000045608|ENSRNOG00000006885	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.2	Homeo domain factors
DDIT3	CHOP10 GADD153 CHOP	DNA damage-inducible transcript 3 protein 	9606|10090|10116	1649|13198|29467	P35638|P35639|Q62857	ENSG00000175197|ENSMUSG00000025408|ENSRNOG00000006789	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.8	Basic leucine zipper factors (bZIP)
DEAF1	NUDR SPN ZMYND5	Deformed epidermal autoregulatory factor 1 homolog 	9606|10090|10116	10522|54006|83632	O75398|Q9Z1T5|O88450	ENSG00000177030|ENSMUSG00000058886|ENSRNOG00000017960	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	5.3.2	SAND domain factors
DLX1	-	Homeobox protein DLX-1	9606|10090|10116	1745|13390|296500	P56177|Q64317|Q64202	ENSG00000144355|ENSMUSG00000041911|ENSRNOG00000001520	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.2	Homeo domain factors
DLX2	TES-1	Homeobox protein DLX-2	9606|10090|10116	1746|13392|296499	Q07687|P40764|Q64204	ENSG00000115844|ENSMUSG00000023391|ENSRNOG00000001519	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.2	Homeo domain factors
DLX3	-	Homeobox protein DLX-3	9606|10090|10116	1747|13393|287638	O60479|Q64205|D4ADD0	ENSG00000064195|ENSMUSG00000001510|ENSRNOG00000004278	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.2	Homeo domain factors
DLX4	DLX8 BP1	Homeobox protein DLX-4 	9606|10090|10116	1748|13394|303469	Q92988|P70436|D4AC19	ENSG00000108813|ENSMUSG00000020871|ENSRNOG00000004399	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.2	Homeo domain factors
DLX5	-	Homeobox protein DLX-5	9606|10090|10116	1749|13395|25431	P56178|P70396|P50575	ENSG00000105880|ENSMUSG00000029755|ENSRNOG00000010905	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.2	Homeo domain factors
DLX6	-	Homeobox protein DLX-6	9606|10090|10116	1750|13396|500023	P56179|P70397|A0A096MIY0	ENSG00000006377|ENSMUSG00000029754|ENSRNOG00000010822	TFclass_human.present	TFclass_mouse.present	NA	3.1.2	Homeo domain factors
DMAP1	DNMAP1 FLJ11543 KIAA1425 DNMTAP1 EAF2 MEAF2 SWC4	DNA methyltransferase 1-associated protein 1 	9606|10090|10116	55929|66233|298447	Q9NPF5|Q9JI44|Q568Y6	ENSG00000178028|ENSMUSG00000009640|ENSRNOG00000019407	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.1	Tryptophan cluster factors
DMBX1	PAXB MBX Atx	Diencephalon/mesencephalon homeobox protein 1 	9606|10090|10116	127343|140477|313512	Q8NFW5|Q91ZK4|D3ZMA3	ENSG00000197587|ENSMUSG00000028707|ENSRNOG00000010835	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.3	Homeo domain factors
DMRT1	DMT1 CT154	Doublesex- and mab-3-related transcription factor 1 	9606|10090|10116	1761|50796|114498	Q9Y5R6|Q9QZ59|Q925A6	ENSG00000137090|ENSMUSG00000024837|ENSRNOG00000016075	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.5.1	DM-type intertwined zinc finger factors
DMRT2	-	Doublesex- and mab-3-related transcription factor 2 	9606|10090|10116	10655|226049|309430	Q9Y5R5|Q8BG36|D4A098	ENSG00000173253|ENSMUSG00000048138|ENSRNOG00000016301	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.5.1	DM-type intertwined zinc finger factors
DMRT3	-	Doublesex- and mab-3-related transcription factor 3	9606|10090|10116	58524|240590|293976	Q9NQL9|Q80WT2|D4A218	ENSG00000064218|ENSMUSG00000042372|ENSRNOG00000016284	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.5.1	DM-type intertwined zinc finger factors
DMRTA1	-	Doublesex- and mab-3-related transcription factor A1	9606|10090|10116	63951|242523|313352	Q5VZB9|Q8CFG4|D3ZIZ0	ENSG00000176399|ENSMUSG00000043753|ENSRNOG00000024093	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.5.1	DM-type intertwined zinc finger factors
DMRTA2	-	Doublesex- and mab-3-related transcription factor A2 	9606|10090|10116	63950|242620|313471	Q96SC8|A2A9A2|D4A0L2	ENSG00000142700|ENSMUSG00000047143|ENSRNOG00000008105	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.5.1	DM-type intertwined zinc finger factors
DMRTB1	-	Doublesex- and mab-3-related transcription factor B1	9606|10090|10116	63948|56296|313484	Q96MA1|A2A9I7|D4A494	ENSG00000143006|ENSMUSG00000028610|ENSRNOG00000023213	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.5.1	DM-type intertwined zinc finger factors
DMRTC1	-	Doublesex- and mab-3-related transcription factor C1	9606|10090|10116|10090	63947|70887|108348153|632708	Q5HYR2|Q9D9R7|Q4QR87|Q2PMX7	ENSG00000269502|ENSMUSG00000031323|ENSRNOG00000060738|ENSMUSG00000073027	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.5.1	DM-type intertwined zinc finger factors
DMRTC2	-	Doublesex- and mab-3-related transcription factor C2	9606|10090|10116	63946|71241|499100	Q8IXT2|Q8CGW9|D3ZH91	ENSG00000142025|ENSMUSG00000011349|ENSRNOG00000020109	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.5.1	DM-type intertwined zinc finger factors
DMTF1	DMP1 DMTF hDMP1 MRUL	Cyclin-D-binding Myb-like transcription factor 1 	9606|10090|10116	9988|23857|114485	Q9Y222|Q8CE22|Q66HG1	ENSG00000135164|ENSMUSG00000042508|ENSRNOG00000005908	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.1	Tryptophan cluster factors
DNAJC1	DNAJL1 ERdj1 MTJ1	DnaJ homolog subfamily C member 1 	9606|10090|10116	64215|13418|100360412	Q96KC8|Q61712|F1LVX1	ENSG00000136770|ENSMUSG00000026740|ENSRNOG00000000150	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.1	Tryptophan cluster factors
DNAJC2	MPP11 MPHOSPH11 ZUO1 zuotin	DnaJ homolog subfamily C member 2 	9606|10090|10116	27000|22791|116456	Q99543|P54103|Q7TQ20	ENSG00000105821|ENSMUSG00000029014|ENSRNOG00000012392	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.1	Tryptophan cluster factors
DNMT1	MCMT CXXC9	DNA 	9606|10090|10116	1786|13433|84350	P26358|P13864|Q9Z330	ENSG00000130816|ENSMUSG00000004099|ENSRNOG00000039859	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.6.1	CXXC zinc finger factors
DNMT3A	-	DNA 	9606|10090|10116	1788|13435|444984	Q9Y6K1|O88508|Q1LZ53	ENSG00000119772|ENSMUSG00000020661|ENSRNOG00000026649	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.2.1	Other C4 zinc finger-type factors
DNMT3B	-	DNA 	9606|10090|10116	1789|13436|444985	Q9UBC3|O88509|Q1LZ51	ENSG00000088305|ENSMUSG00000027478|ENSRNOG00000010625	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.2.1	Other C4 zinc finger-type factors
DNMT3L	MGC1090	DNA 	9606|10090|10116	29947|54427|309680	Q9UJW3|Q9CWR8|Q1LZ50	ENSG00000142182|ENSMUSG00000000730|ENSRNOG00000001212	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.2.1	Other C4 zinc finger-type factors
DPRX	-	Divergent paired-related homeobox	9606	503834	A6NFQ7	ENSG00000204595	TFclass_human.present	NA	NA	3.1.3	Homeo domain factors
DRGX	DRG11	Dorsal root ganglia homeobox protein 	9606|10090|10116	644168|107751|252880	A6NNA5|Q8BYH0|Q62798	ENSG00000165606|ENSMUSG00000041730|ENSRNOG00000020045	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.3	Homeo domain factors
DUX4	-	Double homeobox protein 4 	9606|10090|10090|10116	100288687|278672|278672|306226	Q9UBX2|Q3UY88|Q7TNE6|A0A0G2KA13	ENSG00000260596|ENSMUSG00000048502|ENSMUSG00000048502|ENSRNOG00000025408	TFclass_human.present	NA	NA	3.1.3	Homeo domain factors
DUXA	-	Double homeobox protein A	9606|10090|10090	503835|100504180|245263	A6NLW8|A0A0N4SUK1|Q3ULJ8	ENSG00000258873|ENSMUSG00000058537|ENSMUSG00000075045	TFclass_human.present	NA	NA	3.1.3	Homeo domain factors
E2F1	RBP3	Transcription factor E2F1 	9606|10090|10116	1869|13555|399489	Q01094|Q61501|O09139	ENSG00000101412|ENSMUSG00000027490|ENSRNOG00000016708	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.2	Fork head / winged helix factors
E2F2	E2F-2	Transcription factor E2F2 	9606|10090|10116	1870|242705|684111	Q14209|P56931|M0RDX6	ENSG00000007968|ENSMUSG00000018983|ENSRNOG00000047741	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.2	Fork head / winged helix factors
E2F3	-	Transcription factor E2F3 	9606|10090|10116	1871|13557|291105	O00716|O35261|D4ADR2	ENSG00000112242|ENSMUSG00000016477|ENSRNOG00000029273	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.2	Fork head / winged helix factors
E2F4	E2F-4	Transcription factor E2F4 	9606|10090|10116|10090|10116	1874|13559|116651|104394|100360427	Q16254|Q61502|Q62814|Q8R0K9|D4A9V4	ENSG00000205250|ENSMUSG00000027552|ENSRNOG00000010760|ENSMUSG00000014859|ENSRNOG00000015708	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.2	Fork head / winged helix factors
E2F5	-	Transcription factor E2F5 	9606|10090|10116|10090|10116	1875|13559|116651|104394|100360427	Q15329|Q61502|Q62814|Q8R0K9|D4A9V4	ENSG00000133740|ENSMUSG00000027552|ENSRNOG00000010760|ENSMUSG00000014859|ENSRNOG00000015708	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.2	Fork head / winged helix factors
E2F6	E2F-6	Transcription factor E2F6 	9606|10090|10116	1876|50496|313978	O75461|O54917|Q80ZB0	ENSG00000169016|ENSMUSG00000057469|ENSRNOG00000004449	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.2	Fork head / winged helix factors
E2F7	-	Transcription factor E2F7 	9606|10090|10116	144455|52679|314818	Q96AV8|Q6S7F2|D4A4D7	ENSG00000165891|ENSMUSG00000020185|ENSRNOG00000026252	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.2	Fork head / winged helix factors
E2F8	FLJ23311	Transcription factor E2F8 	9606|10090|10116	79733|108961|308607	A0AVK6|Q58FA4|F1LMN3	ENSG00000129173|ENSMUSG00000046179|ENSRNOG00000022537	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.3.2	Fork head / winged helix factors
E4F1	E4F	Transcription factor E4F1 	9606|10090|10116	1877|13560|681359	Q66K89|Q8CCE9|F1MAM9	ENSG00000167967|ENSMUSG00000024137|ENSRNOG00000009224	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
EBF1	OLF1 COE1	Transcription factor COE1 	9606|10090|10116|10090|10116	1879|13593|361668|13591|116543	Q9UH73|O08791|D4A274|Q07802|Q63398	ENSG00000164330|ENSMUSG00000010476|ENSRNOG00000016102|ENSMUSG00000057098|ENSRNOG00000028845	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.1.5	Rel homology region (RHR) factors
EBF2	FLJ11500 COE2	Transcription factor COE2 	9606|10090|10116	64641|13592|361060	Q9HAK2|O08792|D3ZT68	ENSG00000221818|ENSMUSG00000022053|ENSRNOG00000011548	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.1.5	Rel homology region (RHR) factors
EBF3	COE3 DKFZp667B0210	Transcription factor COE3 	9606|10090|10116|10090|10116	253738|13593|361668|13591|116543	Q9H4W6|O08791|D4A274|Q07802|Q63398	ENSG00000108001|ENSMUSG00000010476|ENSRNOG00000016102|ENSMUSG00000057098|ENSRNOG00000028845	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.1.5	Rel homology region (RHR) factors
EBF4	KIAA1442 COE4 RP5-860F19.3 O/E-4	Transcription factor COE4 	9606|10090|10116	57593|228598|680751	Q9BQW3|Q8K4J2|D3ZW79	ENSG00000088881|ENSMUSG00000053552|ENSRNOG00000007408	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	6.1.5	Rel homology region (RHR) factors
EGR1	TIS8 G0S30 NGFI-A KROX-24 ZIF-268 AT225 225	Early growth response protein 1 	9606|10090|10116	1958|13653|24330	P18146|P08046|P08154	ENSG00000120738|ENSMUSG00000038418|ENSRNOG00000019422	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.1	C2H2 zinc finger factors
EGR2	-	E3 SUMO-protein ligase EGR2 	9606|10090|10116	1959|13654|114090	P11161|P08152|P51774	ENSG00000122877|ENSMUSG00000037868|ENSRNOG00000000640	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.1	C2H2 zinc finger factors
EGR3	PILOT	Early growth response protein 3 	9606|10090|10116	1960|13655|25148	Q06889|P43300|P43301	ENSG00000179388|ENSMUSG00000033730|ENSRNOG00000017828	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.1	C2H2 zinc finger factors
EGR4	NGFI-C PAT133	Early growth response protein 4 	9606|10090|10116	1961|13656|25129	Q05215|Q9WUF2|Q00911	ENSG00000135625|ENSMUSG00000071341|ENSRNOG00000015719	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.1	C2H2 zinc finger factors
EHF	ESE3 ESEJ	ETS homologous factor 	9606|10090|10116	26298|13661|295965	Q9NZC4|O70273|B2RYD8	ENSG00000135373|ENSMUSG00000012350|ENSRNOG00000007484	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.2	Tryptophan cluster factors
ELF1	-	ETS-related transcription factor Elf-1 	9606|10090|10116	1997|13709|85424	P32519|Q60775|Q9EQY3	ENSG00000120690|ENSMUSG00000036461|ENSRNOG00000011762	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.2	Tryptophan cluster factors
ELF2	EU32 NERF NERF-2 NERF-1A NERF-1B	ETS-related transcription factor Elf-2 	9606|10090|10116	1998|69257|361944	Q15723|Q9JHC9|Q5XIT5	ENSG00000109381|ENSMUSG00000037174|ENSRNOG00000010815	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.2	Tryptophan cluster factors
ELF3	EPR-1 ESE-1 ERT	ETS-related transcription factor Elf-3 	9606|10090|10116	1999|13710|304815	P78545|Q3UPW2|Q4V7E1	ENSG00000163435|ENSMUSG00000003051|ENSRNOG00000006330	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.2	Tryptophan cluster factors
ELF4	MEF ELFR	ETS-related transcription factor Elf-4 	9606|10090|10116	2000|56501|302811	Q99607|Q9Z2U4|D3ZWM8	ENSG00000102034|ENSMUSG00000031103|ENSRNOG00000005352	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.2	Tryptophan cluster factors
ELF5	-	ETS-related transcription factor Elf-5 	9606|10090|10116|10116	2001|13711|366142|100910896	Q9UKW6|Q8VDK3|D4A3N9|A0A0G2K893	ENSG00000135374|ENSMUSG00000027186|ENSRNOG00000008282|ENSRNOG00000058235	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.2	Tryptophan cluster factors
ELK1	-	ETS domain-containing protein Elk-1	9606|10090|10116	2002|13712|314436	P19419|P41969|A4GTP4	ENSG00000126767|ENSMUSG00000009406|ENSRNOG00000010171	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.2	Tryptophan cluster factors
ELK3	ERP NET SAP2	ETS domain-containing protein Elk-3 	9606|10090|10116	2004|13713|362871	P41970|P41971|Q9R1T9	ENSG00000111145|ENSMUSG00000008398|ENSRNOG00000004367	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.2	Tryptophan cluster factors
ELK4	SAP1	ETS domain-containing protein Elk-4 	9606|10090|10116	2005|13714|304786	P28324|P41158|B4F7D4	ENSG00000158711|ENSMUSG00000026436|ENSRNOG00000007887	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.2	Tryptophan cluster factors
EMX1	-	Homeobox protein EMX1 	9606|10090|10116|10090|10116	2016|13796|500235|13797|499380	Q04741|Q04742|D3ZV90|Q04744|D3ZCK7	ENSG00000135638|ENSMUSG00000033726|ENSRNOG00000015493|ENSMUSG00000043969|ENSRNOG00000009482	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.2	Homeo domain factors
EMX2	-	Homeobox protein EMX2 	9606|10090|10116|10090|10116	2018|13796|500235|13797|499380	Q04743|Q04742|D3ZV90|Q04744|D3ZCK7	ENSG00000170370|ENSMUSG00000033726|ENSRNOG00000015493|ENSMUSG00000043969|ENSRNOG00000009482	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.2	Homeo domain factors
EN1	-	Homeobox protein engrailed-1 	9606|10090|10116|10090|10116	2019|13798|685360|13799|499964	Q05925|P09065|A0A0G2JT82|P09066|D3Z8B1	ENSG00000163064|ENSMUSG00000058665|ENSRNOG00000056580|ENSMUSG00000039095|ENSRNOG00000006846	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.2	Homeo domain factors
EN2	-	Homeobox protein engrailed-2 	9606|10090|10116|10090|10116	2020|13798|685360|13799|499964	P19622|P09065|A0A0G2JT82|P09066|D3Z8B1	ENSG00000164778|ENSMUSG00000058665|ENSRNOG00000056580|ENSMUSG00000039095|ENSRNOG00000006846	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.2	Homeo domain factors
EPAS1	MOP2 PASD2 HIF2A HLF bHLHe73	Endothelial PAS domain-containing protein 1 	9606|10090|10116	2034|13819|29452	Q99814|P97481|Q9JHS1	ENSG00000116016|ENSMUSG00000024140|ENSRNOG00000021318	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.5	Basic helix-loop-helix factors (bHLH)
ERF	PE-2 PE2	ETS domain-containing transcription factor ERF 	9606|10090|10116	2077|13875|292721	P50548|P70459|D3ZJW0	ENSG00000105722|ENSMUSG00000040857|ENSRNOG00000020426	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.2	Tryptophan cluster factors
ERG	erg-3 p55	Transcriptional regulator ERG 	9606|10090|10116	2078|13876|170909	P11308|P81270|O08962	ENSG00000157554|ENSMUSG00000040732|ENSRNOG00000001652	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.2	Tryptophan cluster factors
ESR1	NR3A1 Era ER-alpha	Estrogen receptor 	9606|10116|10090|10116	2099|13982|24890|	P03372|A0A068JFJ9|P19785|P06211	ENSG00000091831|ENSMUSG00000019768|ENSRNOG00000019358|	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.1.1	Nuclear receptors with C4 zinc fingers
